"RIL-seq RNA pairs identified in E. coli (stationary phase) by Melamed et. al., Moleceular Cell 2016 (Table S2)'. Coordinates - E. coli K12 MG1655 (NC_000913.2) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNA1 name,RNA2 name,# of chimeric fragments,# of libraries,Odds Ratio,Normalized Odds Ratio,Fisher's exact test p-value,Free energy of hybridization (kcal/mol),Genomic annotation of RNA1,Genomic annotation of RNA2,RNA1 description,RNA2 description,RNA1 from,RNA1 to,RNA1 strand,RNA2 from,RNA2 to,RNA2 strand,Other fragments of RNA1,Other fragments of RNA2,Total other fragments,RNA1 in total RNA (# of reads),RNA2 in total RNA (# of reads),RNA1 IP/Total ratio,RNA2 IP/Total ratio,RNA1 EcoCyc ID,RNA2 EcoCyc ID,Code,Number
glmU,cyaR,51,1,6.3,1.8,1.79E-16,-5.0,CDS,sRNA,fused N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase,-,3912008,3912077,-,2165186,2165225,+,383,477844,22777528,26,8713,31.2,102.6,EG11198,G0-8878,cyaR::glmU,415
nlpD,cyaR,106,2,5.9,1.8,1.10E-36,-9.5,CDS,sRNA,"activator of AmiC murein hydrolase activity, lipoprotein",-,2866445,2866799,-,2165174,2165224,+,863,477789,22777048,55,8713,33.0,102.6,EG12111,G0-8878,cyaR::nlpD,468
fliY,cyaR,137,2,3.5,1.8,1.17E-26,-14.0,CDS,sRNA,cystine transporter subunit,-,1998206,1998398,-,2165163,2165224,+,1850,477758,22776061,69,8713,53.9,102.6,G7039,G0-8878,cyaR::fliY,398
talA.maeB.IGR,cyaR,50,2,8.8,1.7,1.06E-21,-7.6,IGR,sRNA,fused malic enzyme predicted oxidoreductase/predicted phosphotransacetylase : transaldolase A,-,2576617,2576863,-,2165173,2165224,+,271,477845,22777640,28,8713,21.5,102.6,EG11797.G7293.IGR,G0-8878,cyaR::talA.maeB.IGR,446
tsx,cyaR,44,1,12.3,1.7,1.00E-23,-15.3,CDS,sRNA,"nucleoside channel, receptor of phage T6 and colicin K",-,430358,430484,-,2165186,2165224,+,170,477851,22777741,27,8713,14.8,102.6,EG11035,G0-8878,cyaR::tsx,522
pnuC,cyaR,14,U,12.8,1.7,3.31E-04,-8.0,CDS,sRNA,nicotinamide mononucleotide transporter,-,782348,782400,+,2165195,2165223,+,52,477881,22777859,8,8713,15.4,102.6,EG11700,G0-8878,cyaR::pnuC,485
nhaA,cyaR,95,3,3.1,1.7,1.18E-13,-14.0,CDS,sRNA,sodium-proton antiporter,-,18602,18699,+,2165173,2165224,+,1472,477800,22776439,51,8713,57.5,102.6,EG10652,G0-8878,cyaR::nhaA,464
yeaQ,cyaR,133,3,13.7,1.6,1.40E-86,-13.3,CDS,sRNA,"conserved protein, UPF0410 family",-,1877143,1877256,-,2165161,2165224,+,463,477762,22777448,88,8713,12.7,102.6,G6981,G0-8878,cyaR::yeaQ,552
ftsY,cyaR,66,2,5.3,1.6,7.66E-19,-6.7,CDS,sRNA,Signal Recognition Particle (SRP) receptor,-,3601801,3601897,-,2165169,2165225,+,592,477829,22777319,38,8713,32.4,102.6,EG10346,G0-8878,cyaR::ftsY,405
fadD,cyaR,45,1,6.4,1.5,3.60E-14,-5.9,CDS,sRNA,acyl-CoA synthetase (long-chain-fatty-acid--CoA ligase),-,1887708,1887840,-,2165183,2165224,+,333,477850,22777578,28,8713,25.3,102.6,EG11530,G0-8878,cyaR::fadD,393
acpH,cyaR,16,U,9.4,1.5,8.08E-04,-6.0,CDS,sRNA,conserved protein,-,423681,423764,-,2165187,2165225,+,81,477879,22777830,10,8713,18.2,102.6,EG11095,G0-8878,acpH::cyaR,346
pgpC,cyaR,25,1,7.9,1.5,2.06E-07,-4.6,CDS,sRNA,-,-,2696360,2696415,-,2165199,2165225,+,150,477870,22777761,16,8713,20.5,102.6,EG11371,G0-8878,cyaR::pgpC,483
dadA.5UTR,cyaR,71,2,7.8,1.4,6.31E-30,-5.9,5UTR,sRNA,D-amino acid dehydrogenase,-,1236761,1236800,+,2165167,2165224,+,434,477824,22777477,48,8713,19.7,102.6,EG11407.5UTR,G0-8878,cyaR::dadA,374
ilvB,cyaR,35,1,5.1,1.4,2.98E-07,-13.8,CDS,sRNA,"acetolactate synthase I, large subunit",-,3850717,3850791,-,2165178,2165225,+,324,477860,22777587,22,8713,30.5,102.6,EG10494,G0-8878,cyaR::ilvB,432
dtpB,cyaR,73,2,10.5,1.4,1.52E-38,-15.1,CDS,sRNA,dipeptide and tripeptide permease B,-,3640020,3640333,+,2165168,2165224,+,331,477822,22777580,52,8713,14.5,102.6,EG12232,G0-8878,cyaR::dtpB,385
clpP.5UTR,cyaR,40,1,6.0,1.4,3.84E-11,-13.6,5UTR,sRNA,proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases,-,455809,455890,+,2165184,2165224,+,316,477855,22777595,26,8713,25.6,102.6,EG10158.5UTR,G0-8878,clpP::cyaR,363
oppD,cyaR,106,2,4.1,1.4,2.49E-24,-7.3,CDS,sRNA,oligopeptide transporter subunit,-,1302813,1302997,+,2165163,2165224,+,1234,477789,22776677,70,8713,35.8,102.6,EG10677,G0-8878,cyaR::oppD,478
alaE,cyaR,84,2,5.7,1.4,4.47E-27,-8.3,CDS,sRNA,-,-,2797402,2797488,+,2165173,2165224,+,708,477811,22777203,57,8713,26.0,102.6,G7399,G0-8878,alaE::cyaR,350
slyB,cyaR,317,3,10.5,1.3,4.78E-183,-14.0,CDS,sRNA,outer membrane lipoprotein,-,1718003,1718358,+,2165171,2165225,+,1443,477578,22776468,247,8713,13.3,102.6,G6881,G0-8878,cyaR::slyB,511
yaiZ,cyaR,95,1,6.4,1.3,3.58E-35,-9.3,CDS,sRNA,"predicted inner membrane protein, DUF2754 family",-,398801,399078,+,2165169,2165224,+,709,477800,22777202,69,8713,21.8,102.6,G6229,G0-8878,cyaR::yaiZ,535
glgB,cyaR,98,2,4.8,1.3,2.12E-27,-9.3,CDS,sRNA,"1,4-alpha-glucan branching enzyme",-,3570745,3570892,-,2165180,2165225,+,964,477797,22776947,70,8713,28.4,102.6,EG10378,G0-8878,cyaR::glgB,414
tamA,cyaR,34,U,4.9,1.3,2.47E-06,-13.1,CDS,sRNA,-,-,4440439,4440578,+,2165185,2165224,+,331,477861,22777580,24,8713,28.5,102.6,G7874,G0-8878,cyaR::tamA,517
yniA,cyaR,27,1,13.1,1.3,3.52E-13,-10.6,CDS,sRNA,predicted phosphotransferase/kinase,-,1806623,1806670,+,2165172,2165224,+,98,477868,22777813,22,8713,10.6,102.6,G6930,G0-8878,cyaR::yniA,584
lsrC,cyaR,23,U,4.7,1.3,2.41E-02,-12.7,CDS,sRNA,Autoinducer 2 import system permease protein,-,1601620,1602053,+,2165160,2165224,+,232,477872,22777679,16,8713,29.8,102.6,G6801,G0-8878,cyaR::lsrC,443
yebW,cyaR,44,1,3.8,1.3,3.60E-06,-7.7,CDS,sRNA,predicted protein,-,1920206,1920389,+,2165161,2165225,+,551,477851,22777360,31,8713,35.9,102.6,G7010,G0-8878,cyaR::yebW,555
clpS,cyaR,297,3,12.0,1.3,1.68E-185,-9.0,CDS,sRNA,regulatory protein for ClpA substrate specificity,-,922401,922497,+,2165167,2165225,+,1179,477598,22776732,251,8713,11.0,102.6,G6463,G0-8878,clpS::cyaR,364
yajC,cyaR,95,2,3.4,1.2,8.54E-16,-6.5,CDS,sRNA,SecYEG protein translocase auxillary subunit,-,426605,426679,+,2165183,2165225,+,1338,477800,22776573,69,8713,38.9,102.6,EG11096,G0-8878,cyaR::yajC,536
ftsK,cyaR,77,2,7.8,1.2,4.59E-33,-5.5,CDS,sRNA,DNA translocase at septal ring sorting daughter chromsomes,-,936001,936196,+,2165201,2165225,+,500,449063,22806166,65,4123,16.6,203.9,G6464,G0-8878,cyaR::ftsK,402
cbpM,cyaR,58,2,6.9,1.2,5.13E-21,-7.5,CDS,sRNA,modulator of CbpA co-chaperone,-,1061901,1062046,-,2165180,2165224,+,402,477837,22777509,45,8713,19.1,102.6,EG12194,G0-8878,cbpM::cyaR,360
yqiB,cyaR,60,1,2.7,1.2,4.78E-04,-5.6,CDS,sRNA,predicted dehydrogenase,-,3174910,3174987,-,2165177,2165224,+,1077,477835,22776834,43,8713,49.5,102.6,G7580,G0-8878,cyaR::yqiB,589
yqaE,cyaR,40,1,5.2,1.2,3.59E-09,-11.1,CDS,sRNA,"regulated by cyaR sRNA, UPF0057 family; predicted membrane protein",-,2794916,2795070,-,2165167,2165224,+,366,477855,22777545,30,8713,25.3,102.6,G7396,G0-8878,cyaR::yqaE,588
rssA,cyaR,53,U,3.5,1.2,6.71E-07,-5.5,CDS,sRNA,"conserved protein, patatin-like family",-,1288401,1288500,+,2165194,2165224,+,732,477842,22777179,39,8713,37.7,102.6,EG12120,G0-8878,cyaR::rssA,506
ydcH,cyaR,1246,3,2.9,1.2,2.63E-207,-10.9,CDS,sRNA,predicted protein,-,1496701,1497142,+,2165160,2165225,+,20694,476649,22757217,941,8713,43.6,102.6,EG12865,G0-8878,cyaR::ydcH,549
ftsE,cyaR,38,1,5.0,1.2,5.07E-08,-6.5,CDS,sRNA,predicted transporter subunit: ATP-binding component of ABC superfamily,-,3600314,3600499,-,2165180,2165224,+,360,477857,22777551,29,8713,25.7,102.6,EG10340,G0-8878,cyaR::ftsE,401
waaF,cyaR,36,U,6.0,1.2,1.71E-09,-10.2,CDS,sRNA,-,-,3793472,3793672,+,2165173,2165224,+,285,477859,22777626,28,8713,21.5,102.6,EG12210,G0-8878,cyaR::waaF,530
sohB,cyaR,26,U,5.5,1.2,1.20E-04,-7.0,CDS,sRNA,predicted inner membrane peptidase; multicopy suppressor of htrA(degP),-,1327336,1327498,+,2165164,2165224,+,225,477869,22777686,20,8713,23.5,102.6,EG10956,G0-8878,cyaR::sohB,516
cyoB,cyaR,132,2,4.3,1.2,1.19E-33,-7.7,CDS,sRNA,cytochrome o ubiquinol oxidase subunit I,-,449322,449584,-,2165163,2165224,+,1459,477763,22776452,105,8713,28.4,102.6,EG10179,G0-8878,cyaR::cyoB,372
mtr,cyaR,145,2,2.7,1.2,9.54E-18,-8.5,CDS,sRNA,tryptophan transporter of high affinity,-,3302620,3302791,-,2165180,2165224,+,2545,477750,22775366,112,8713,44.9,102.6,EG10617,G0-8878,cyaR::mtr,459
dtd,cyaR,97,2,2.6,1.1,2.01E-09,-5.0,CDS,sRNA,D-tyr-tRNA(Tyr) deacylase,-,4075115,4075373,+,2165204,2165224,+,1874,449043,22804792,81,4123,45.5,203.9,EG11852,G0-8878,cyaR::dtd,384
amyA,cyaR,34,U,3.3,1.1,2.77E-02,-7.9,CDS,sRNA,cytoplasmic alpha-amylase,-,2005518,2005664,+,2165182,2165224,+,484,477861,22777427,27,8713,35.9,102.6,EG11387,G0-8878,amyA::cyaR,354
glpT,cyaR,461,2,2.5,1.1,3.91E-55,-9.2,CDS,sRNA,sn-glycerol-3-phosphate transporter,-,2349801,2350100,-,2165168,2165225,+,8937,477434,22768974,377,8713,46.7,102.6,EG10401,G0-8878,cyaR::glpT,418
dctA,cyaR,53,1,3.1,1.1,5.32E-05,-8.5,CDS,sRNA,"C4-dicarboxylic acid, orotate and citrate transporter",-,3680821,3680900,-,2165161,2165224,+,828,477842,22777083,43,8713,38.3,102.6,EG20044,G0-8878,cyaR::dctA,376
rppH,cyaR,114,3,2.0,1.1,1.87E-05,-5.6,CDS,sRNA,RNA pyrophosphohydrolase,-,2966802,2966894,-,2165173,2165224,+,2662,477781,22775249,92,8713,56.5,102.6,G7459,G0-8878,cyaR::rppH,502
atpI,cyaR,172,3,6.1,1.1,3.19E-65,-8.3,CDS,sRNA,"ATP synthase, membrane-bound accessory factor",-,3919902,3920300,-,2165172,2165224,+,1337,477723,22776574,152,8713,18.6,102.6,EG10106,G0-8878,atpI::cyaR,358
adhE,cyaR,44,2,10.0,1.1,1.87E-20,-7.0,CDS,sRNA,fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase,-,1296101,1296178,-,2165172,2165224,+,210,477851,22777701,41,8713,11.6,102.6,EG10031,G0-8878,adhE::cyaR,347
mlaA,cyaR,66,2,7.8,1.1,1.50E-27,-12.6,CDS,sRNA,"ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component",-,2462913,2463093,-,2165179,2165225,+,402,477829,22777509,61,8713,14.4,102.6,G7216,G0-8878,cyaR::mlaA,453
polA,cyaR,37,1,4.9,1.0,2.20E-07,-10.4,CDS,sRNA,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease,-,4047618,4047779,+,2165190,2165225,+,359,477858,22777552,33,8713,22.5,102.6,EG10746,G0-8878,cyaR::polA,486
ansB,cyaR,112,3,6.5,1.0,6.93E-43,-13.4,CDS,sRNA,periplasmic L-asparaginase II,-,3098608,3098774,-,2165170,2165225,+,824,477783,22777087,105,8713,16.7,102.6,EG10046,G0-8878,ansB::cyaR,355
eptB,cyaR,21,1,10.2,1.0,3.01E-07,-7.6,CDS,sRNA,"KDO phosphoethanolamine transferase, Ca(2+)-inducible",-,3706834,3706876,-,2165178,2165224,+,98,477874,22777813,21,8713,10.6,102.6,EG12267,G0-8878,cyaR::eptB,391
ftsX,cyaR,69,1,4.5,0.9,3.11E-16,-9.3,CDS,sRNA,predicted transporter subunit: membrane component of ABC superfamily,-,3599513,3599795,-,2165180,2165224,+,729,477826,22777182,67,8713,22.3,102.6,EG10345,G0-8878,cyaR::ftsX,404
ybiO,cyaR,40,2,8.7,0.9,3.29E-16,-7.9,CDS,sRNA,predicted mechanosensitive channel,-,844516,844729,-,2165172,2165225,+,219,477855,22777692,45,8713,10.8,102.6,G6417,G0-8878,cyaR::ybiO,542
ftsW,cyaR,55,1,3.6,0.9,4.48E-08,-7.5,CDS,sRNA,integral membrane protein involved in stabilizing FstZ ring during cell division,-,99005,99389,+,2165187,2165224,+,727,477840,22777184,57,8713,25.7,102.6,EG10344,G0-8878,cyaR::ftsW,403
yedQ,cyaR,120,2,6.6,0.9,5.44E-47,-8.8,CDS,sRNA,predicted diguanylate cyclase,-,2025910,2026262,-,2165166,2165224,+,868,477775,22777043,133,8713,13.9,102.6,G7049,G0-8878,cyaR::yedQ,557
cstA,cyaR,724,3,7.3,0.8,0.00E+00,-11.2,CDS,sRNA,carbon starvation protein,-,630921,631384,+,2165164,2165225,+,4754,477171,22773157,839,8713,12.2,102.6,EG10167,G0-8878,cstA::cyaR,370
ychN,cyaR,27,1,8.4,0.8,6.79E-09,-6.9,CDS,sRNA,conserved protein,-,1272503,1272585,-,2165166,2165224,+,154,477868,22777757,31,8713,10.9,102.6,EG12404,G0-8878,cyaR::ychN,547
gapA,cyaR,168,3,10.8,0.8,9.74E-97,-6.0,CDS,sRNA,glyceraldehyde-3-phosphate dehydrogenase A,-,1861635,1861699,+,2165163,2165225,+,740,477727,22777171,207,8713,8.2,102.6,EG10367,G0-8878,cyaR::gapA,407
yqjA,cyaR,44,2,4.5,0.8,1.97E-08,-6.5,CDS,sRNA,"required, with yghB, for membrane integrity; inner membrane protein",-,3246307,3246465,+,2165200,2165225,+,468,477851,22777443,49,8713,19.6,102.6,G7609,G0-8878,cyaR::yqjA,590
glf,cyaR,39,3,2.9,0.8,4.12E-02,-11.6,CDS,sRNA,"UDP-galactopyranose mutase, FAD/NAD(P)-binding",-,2105819,2106082,-,2165171,2165224,+,649,477856,22777262,44,8713,29.3,102.6,EG11981,G0-8878,cyaR::glf,412
damX,cyaR,37,1,5.9,0.8,1.06E-09,-4.6,CDS,sRNA,cell division protein that binds to the septal ring,-,3515309,3515393,-,2165216,2165224,+,318,449103,22806348,48,4123,13.8,203.9,EG11183,G0-8878,cyaR::damX,375
eda,cyaR,17,U,7.0,0.8,1.30E-02,-13.6,CDS,sRNA,multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase,-,1930223,1930394,-,2165187,2165224,+,116,477878,22777795,21,8713,11.9,102.6,EG10256,G0-8878,cyaR::eda,389
gatB,cyaR,345,1,2.9,0.8,1.09E-53,-8.9,CDS,sRNA,galactitol-specific enzyme IIB component of PTS,-,2172303,2172400,-,2165167,2165225,+,5750,477550,22772161,412,8713,27.7,102.6,EG12415,G0-8878,cyaR::gatB,408
ybhQ,cyaR,76,2,5.5,0.7,1.69E-23,-7.5,CDS,sRNA,inner membrane protein,-,823831,824075,+,2165180,2165224,+,654,477819,22777257,101,8713,13.5,102.6,G6408,G0-8878,cyaR::ybhQ,541
der,cyaR,31,1,4.7,0.7,5.52E-05,-5.7,CDS,sRNA,GTPase; multicopy suppressor of ftsJ,-,2635055,2635181,-,2165161,2165225,+,312,477864,22777599,40,8713,16.0,102.6,G7319,G0-8878,cyaR::der,379
uspG.5UTR,cyaR,15,1,9.4,0.7,3.01E-03,-12.2,5UTR,sRNA,universal stress protein UP12,-,641103,641239,-,2165160,2165224,+,76,477880,22777835,21,8713,8.1,102.6,G6334.5UTR,G0-8878,cyaR::uspG,528
rpsT,cyaR,272,3,9.8,0.7,1.99E-150,-9.2,CDS,sRNA,30S ribosomal subunit protein S20,-,20907,21159,-,2165163,2165225,+,1318,477623,22776593,408,8713,7.3,102.6,EG10919,G0-8878,cyaR::rpsT,504
kgtP,cyaR,397,3,7.2,0.7,6.91E-178,-7.9,CDS,sRNA,alpha-ketoglutarate transporter,-,2722334,2722600,-,2165163,2165225,+,2640,477498,22775271,575,8713,9.9,102.6,EG10522,G0-8878,cyaR::kgtP,438
bolA,cyaR,195,1,1.9,0.7,1.84E-09,-5.6,CDS,sRNA,"stationary-phase morphogene, transcriptional repressor for mreB; also regulator for dacA, dacC, and ampC",-,453903,454052,+,2165159,2165225,+,4851,477700,22773060,260,8713,36.3,102.6,EG10125,G0-8878,bolA::cyaR,359
oxyR,cyaR,22,U,7.3,0.7,2.74E-05,-9.1,CDS,sRNA,DNA-binding transcriptional dual regulator,-,4156507,4156593,+,2165183,2165224,+,143,477873,22777768,32,8713,9.6,102.6,EG10681,G0-8878,cyaR::oxyR,479
ompA,cyaR,811,3,2.7,0.6,9.84E-120,-12.4,CDS,sRNA,outer membrane protein A (3a;II*;G;d),-,1019113,1019300,-,2165166,2165225,+,14337,477084,22763574,1151,8713,24.6,102.6,EG10669,G0-8878,cyaR::ompA,471
htpX,cyaR,74,1,2.5,0.6,5.31E-05,-12.4,CDS,sRNA,predicted endopeptidase,-,1910401,1910600,-,2165182,2165224,+,1412,477821,22776499,106,8713,26.2,102.6,EG10462,G0-8878,cyaR::htpX,430
murG,cyaR,27,1,6.2,0.6,3.93E-06,-10.3,CDS,sRNA,N-acetylglucosaminyl transferase,-,99930,100194,+,2165183,2165224,+,207,477868,22777704,41,8713,10.7,102.6,EG10623,G0-8878,cyaR::murG,460
cydB,cyaR,120,3,9.4,0.6,1.28E-61,-13.6,CDS,sRNA,"cytochrome d terminal oxidase, subunit II",-,773206,773292,+,2165164,2165224,+,611,477775,22777300,197,8713,6.9,102.6,EG10174,G0-8878,cyaR::cydB,371
gpmA,cyaR,111,2,4.3,0.6,3.10E-27,-9.6,CDS,sRNA,phosphoglyceromutase 1,-,786714,786844,-,2165163,2165224,+,1237,477784,22776674,167,8713,15.1,102.6,EG11699,G0-8878,cyaR::gpmA,422
agp,cyaR,40,2,10.1,0.6,2.37E-18,-9.0,CDS,sRNA,glucose-1-phosphatase/inositol phosphatase,-,1065519,1065571,+,2165194,2165224,+,188,477855,22777723,67,8713,6.4,102.6,EG10033,G0-8878,agp::cyaR,349
mdh.5UTR,cyaR,717,3,1.9,0.6,4.74E-44,-10.7,5UTR,sRNA,"malate dehydrogenase, NAD(P)-binding",-,3382001,3382500,-,2165161,2165225,+,18311,477178,22759600,1065,8713,33.4,102.6,EG10576.5UTR,G0-8878,cyaR::mdh,447
tolB,cyaR,54,U,4.2,0.6,2.87E-10,-14.4,CDS,sRNA,periplasmic protein,-,776818,777182,+,2165179,2165225,+,617,477841,22777294,83,8713,15.1,102.6,EG11008,G0-8878,cyaR::tolB,520
ftsA,cyaR,33,1,4.2,0.6,2.71E-04,-5.3,CDS,sRNA,ATP-binding cell division protein involved in recruitment of FtsK to Z ring,-,104539,104594,+,2165179,2165224,+,377,477862,22777534,51,8713,15.0,102.6,EG10339,G0-8878,cyaR::ftsA,400
oppA,cyaR,113,1,2.5,0.6,7.43E-10,-7.3,CDS,sRNA,oligopeptide transporter subunit,-,1299301,1299400,+,2165170,2165224,+,2189,477782,22775722,175,8713,24.6,102.6,EG10674,G0-8878,cyaR::oppA,477
zapB,cyaR,68,1,4.6,0.6,3.02E-16,-8.8,CDS,sRNA,"septal ring assembly factor, stimulates cell division",-,4116505,4116597,+,2165170,2165224,+,708,477827,22777203,110,8713,13.2,102.6,EG11878,G0-8878,cyaR::zapB,591
ompF,cyaR,30,1,5.3,0.6,7.73E-06,-6.1,CDS,sRNA,outer membrane porin 1a (Ia;b;F),-,985609,985697,-,2165176,2165224,+,268,477865,22777643,49,8713,11.4,102.6,EG10671,G0-8878,cyaR::ompF,472
dnaE,cyaR,17,U,6.5,0.5,3.56E-02,-6.4,CDS,sRNA,DNA polymerase III alpha subunit,-,208524,208577,+,2165176,2165224,+,125,477878,22777786,29,8713,9.2,102.6,EG10238,G0-8878,cyaR::dnaE,380
yobF.5UTR,cyaR,222,3,5.1,0.5,6.27E-72,-11.9,5UTR,sRNA,predicted protein,-,1905602,1905697,-,2165160,2165224,+,2074,477673,22775837,388,8713,11.1,102.6,G7000.5UTR,G0-8878,cyaR::yobF,586
nuoL,cyaR,37,1,4.4,0.5,4.36E-06,-11.2,CDS,sRNA,"NADH:ubiquinone oxidoreductase, membrane subunit L",-,2392701,2392886,-,2165180,2165224,+,400,477858,22777511,63,8713,13.0,102.6,EG12092,G0-8878,cyaR::nuoL,470
ydcV,cyaR,32,U,3.9,0.5,7.80E-04,-10.5,CDS,sRNA,predicted spermidine/putrescine transporter subunit,-,1513503,1513600,+,2165172,2165224,+,390,477863,22777521,54,8713,14.6,102.6,G6754,G0-8878,cyaR::ydcV,550
recA,cyaR,28,1,5.4,0.5,3.18E-05,-6.7,CDS,sRNA,DNA strand exchange and recombination protein with protease and nuclease activity,-,2820936,2820995,-,2165177,2165224,+,247,477867,22777664,49,8713,10.5,102.6,EG10823,G0-8878,cyaR::recA,495
gatD,cyaR,105,2,3.3,0.5,7.11E-17,-7.6,CDS,sRNA,"galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding",-,2170612,2170900,-,2165185,2165224,+,1533,477790,22776378,179,8713,17.1,102.6,EG12417,G0-8878,cyaR::gatD,409
glpD,cyaR,1836,3,3.8,0.5,0.00E+00,-6.7,CDS,sRNA,"sn-glycerol-3-phosphate dehydrogenase, aerobic, FAD/NAD(P)-binding",-,3560002,3560493,+,2165112,2165225,+,22808,476059,22755103,3288,8713,14.0,102.6,EG10394,G0-8878,cyaR::glpD,416
cysQ,cyaR,21,U,5.4,0.5,1.28E-02,-2.7,CDS,sRNA,"PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase",-,4434701,4434783,+,2165217,2165224,+,198,449119,22806468,41,4123,10.0,203.9,EG10043,G0-8878,cyaR::cysQ,373
fabG,cyaR,156,3,3.0,0.5,2.33E-23,-10.1,CDS,sRNA,3-oxoacyl-[acyl-carrier-protein] reductase,-,1150418,1150491,+,2165166,2165225,+,2498,477739,22775413,280,8713,17.7,102.6,EG11318,G0-8878,cyaR::fabG,392
ecnB,cyaR,191,3,5.0,0.5,2.71E-60,-8.7,CDS,sRNA,entericidin B membrane lipoprotein,-,4374604,4374697,+,2165165,2165224,+,1811,477704,22776100,363,8713,10.3,102.6,G0-9562,G0-8878,cyaR::ecnB,387
ompX,cyaR,79,3,2.4,0.5,2.59E-05,-10.7,CDS,sRNA,outer membrane protein X,-,850104,850597,+,2165179,2165224,+,1573,477816,22776338,154,8713,20.1,102.6,EG12117,G0-8878,cyaR::ompX,474
lpp,cyaR,1110,3,5.8,0.4,0.00E+00,-15.3,CDS,sRNA,murein lipoprotein,-,1755006,1755499,+,2165161,2165225,+,9083,476785,22768828,2371,8713,8.0,102.6,EG10544,G0-8878,cyaR::lpp,442
leuS,cyaR,14,U,9.8,0.4,6.91E-03,-11.3,CDS,sRNA,leucyl-tRNA synthetase,-,672521,672574,-,2165185,2165224,+,68,477881,22777843,32,8713,4.8,102.6,EG10532,G0-8878,cyaR::leuS,439
clpS,cyaR,103,3,3.1,0.4,1.57E-15,-6.6,CDS,sRNA,regulatory protein for ClpA substrate specificity,-,922307,922398,+,2165160,2165224,+,1577,477792,22776334,224,8713,14.0,102.6,G6463,G0-8878,clpS::cyaR,365
greA,cyaR,25,U,4.9,0.4,2.64E-03,-5.8,CDS,sRNA,transcript cleavage factor,-,3326237,3326409,-,2165169,2165224,+,243,477870,22777668,56,8713,9.0,102.6,EG10415,G0-8878,cyaR::greA,423
gcvP,cyaR,20,1,5.5,0.4,2.25E-02,0.0,CDS,sRNA,"glycine decarboxylase, PLP-dependent, subunit (protein P) of glycine cleavage complex",-,3044926,3044949,-,2165208,2165225,+,185,449120,22806481,49,4123,7.8,203.9,EG11810,G0-8878,cyaR::gcvP,411
hisQ.hisJ.IGT,cyaR,22,U,5.2,0.4,5.12E-03,-4.4,IGT,sRNA,histidine/lysine/arginine/ornithine transporter permease subunit : histidine/lysine/arginine/ornithine transporter subunit,-,2423962,2424052,-,2165163,2165200,+,3427,28733,23223624,91,4590,70.9,11.7,EG12125.EG12124.IGT,G0-8878,cyaR::hisQ.hisJ.IGT,429
ymdF,cyaR,41,1,5.3,0.4,8.65E-10,-8.2,CDS,sRNA,conserved protein,-,1067274,1067399,+,2165164,2165224,+,368,477854,22777543,102,8713,7.5,102.6,G0-10443,G0-8878,cyaR::ymdF,579
crl,cyaR,20,U,5.8,0.4,1.04E-02,-5.9,CDS,sRNA,"sigma factor-binding protein, stimulates RNA polymerase holoenzyme formation",-,257810,257844,+,2165216,2165224,+,176,449120,22806490,54,4123,6.8,203.9,EG11092,G0-8878,crl::cyaR,368
thrS,cyaR,61,2,4.8,0.4,5.92E-15,-6.5,CDS,sRNA,threonyl-tRNA synthetase,-,1799303,1799370,-,2165186,2165224,+,607,477834,22777304,154,8713,8.1,102.6,EG11001,G0-8878,cyaR::thrS,519
ompW,cyaR,471,2,2.2,0.4,9.06E-42,-9.3,CDS,sRNA,outer membrane protein W,-,1312104,1312600,+,2165160,2165225,+,10406,477424,22767505,1149,8713,17.7,102.6,EG11124,G0-8878,cyaR::ompW,473
fumA,cyaR,67,1,2.8,0.3,6.03E-06,-12.3,CDS,sRNA,"fumarate hydratase (fumarase A), aerobic Class I",-,1685703,1685995,-,2165185,2165224,+,1148,477828,22776763,175,8713,13.0,102.6,EG10356,G0-8878,cyaR::fumA,406
hdhA,cyaR,22,U,8.2,0.3,3.88E-06,-5.7,CDS,sRNA,"7-alpha-hydroxysteroid dehydrogenase, NAD-dependent",-,1695333,1695396,-,2165183,2165224,+,128,477873,22777783,63,8713,4.5,102.6,EG10425,G0-8878,cyaR::hdhA,426
clpB,cyaR,42,U,3.1,0.3,3.08E-03,-7.3,CDS,sRNA,protein disaggregation chaperone,-,2731618,2731882,-,2165180,2165225,+,638,477853,22777273,115,8713,11.1,102.6,EG10157,G0-8878,clpB::cyaR,362
dnaK,cyaR,59,U,2.6,0.3,1.24E-03,-9.7,CDS,sRNA,"chaperone Hsp70, co-chaperone with DnaJ",-,13701,13787,+,2165177,2165224,+,1077,477836,22776834,167,8713,12.7,102.6,EG10241,G0-8878,cyaR::dnaK,381
